window_sec,step_sec,n_windows,n_stress_windows,stress_fraction,n_features,mean_f1,std_f1,mean_recall,std_recall,mean_accuracy,mean_precision,min_subject_recall,n_subjects_recall_below_0_5,n_subjects_recall_zero,elapsed_sec
30,15,2793,622,0.22269960615825277,48,0.7408332065601807,0.3887275493767576,0.7535628819250745,0.4057725013587201,0.9276315674132629,0.8169668502703138,0.0,3,1,98.4
30,30,1397,312,0.22333571939871152,48,0.7645175538376888,0.34038598611897736,0.7564285714285715,0.36103447898237756,0.9301424606852545,0.7961697722567287,0.0,3,2,45.2
60,15,2793,622,0.22269960615825277,48,0.7234284472251213,0.39916992569967075,0.7242607785085241,0.4119445562885127,0.9246162296691588,0.7374266293439227,0.0,3,3,122.6
60,30,1396,310,0.22206303724928367,48,0.758035846581161,0.3485775897933107,0.7457852706299912,0.38330266248482375,0.9301149011960019,0.886041093553409,0.0,3,1,55.0
60,60,691,154,0.22286541244573083,48,0.775969858299051,0.3467125076157593,0.7609307359307359,0.37379278905948327,0.934529097353227,0.8725143903715332,0.0,3,1,29.6
90,15,2794,622,0.22261989978525412,48,0.7382278421164443,0.39624465389248975,0.7302104659539806,0.40464200547131335,0.9306663502070822,0.8213788592360022,0.0,3,2,426.5
90,30,1397,312,0.22333571939871152,48,0.7441915244623223,0.3914710352392324,0.740844155844156,0.4048828583207088,0.9313344102373525,0.8175441128072708,0.0,3,2,74.6
90,60,707,156,0.22065063649222066,48,0.7318991712584388,0.40357945735717354,0.7429653679653679,0.4174284653426763,0.9289018684396836,0.7334415584415582,0.0,3,3,40.1
120,15,2804,622,0.22182596291012838,48,0.7451984746930383,0.40834044904810796,0.7363524217700773,0.4110706202787712,0.935136182713453,0.7608493752110774,0.0,3,3,131.4
120,30,1402,310,0.2211126961483595,48,0.760870539092147,0.3769124856383677,0.746069277513377,0.3936726016933564,0.9360397037602919,0.8293119078988644,0.0,3,2,70.3
120,60,707,156,0.22065063649222066,48,0.7804328108054818,0.33172168884584075,0.7676406926406927,0.36769088065834726,0.9360964165886134,0.8875327053898483,0.0,3,1,41.7
