n_features,mean_f1,std_f1,mean_recall,min_subject_recall,n_below_0_5,elapsed_sec
1,0.8919148194241473,0.07667089585992617,0.9294372294372294,0.7272727272727273,0,19.5
2,0.8840612082622658,0.07629898771782612,0.8904761904761903,0.7272727272727273,0,16.7
3,0.8860894391830605,0.09124865863855817,0.8768398268398269,0.5454545454545454,0,19.3
4,0.9042454048076801,0.10053784720289753,0.883982683982684,0.5454545454545454,0,15.4
5,0.9092286271233638,0.09281283234418673,0.9034632034632034,0.6666666666666666,0,17.7
6,0.8985754265718883,0.11767120013239418,0.9034632034632034,0.5454545454545454,0,7.2
7,0.8976473630387828,0.10823070874882856,0.9034632034632034,0.5454545454545454,0,12.8
8,0.881932017071336,0.11546665925012733,0.878030303030303,0.5454545454545454,0,9.8
9,0.8921553094922178,0.11333568901643848,0.8911255411255411,0.5454545454545454,0,24.9
10,0.9056807095307758,0.09887973619874109,0.883982683982684,0.5454545454545454,0,9.9
11,0.9135575444752799,0.09781225379339947,0.8969696969696971,0.5454545454545454,0,9.3
12,0.9082553606237816,0.09771800791970553,0.8916666666666667,0.6363636363636364,0,7.7
13,0.9208411596757461,0.1041298926287082,0.9106060606060605,0.5454545454545454,0,8.2
14,0.9232587420933285,0.1026448052795366,0.9106060606060605,0.5454545454545454,0,8.9
15,0.9156786808290568,0.11081455200314828,0.9106060606060605,0.5454545454545454,0,9.1
16,0.931297957779603,0.09357017012685395,0.9106060606060605,0.5454545454545454,0,8.7
17,0.9293565658382111,0.09664061463599814,0.9165584415584415,0.5454545454545454,0,8.9
18,0.9219782298884465,0.0996836848578765,0.9046536796536796,0.5454545454545454,0,8.3
19,0.9221796950899117,0.10054907696368989,0.9046536796536796,0.5454545454545454,0,9.4
20,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,8.5
21,0.9209578217251814,0.10584948602930433,0.9106060606060605,0.5454545454545454,0,7.2
22,0.9199411928514095,0.10269770978477111,0.9046536796536796,0.5454545454545454,0,8.4
23,0.9227879837416787,0.10315134867032796,0.9046536796536796,0.5454545454545454,0,9.0
24,0.9230364309466477,0.10324299687920292,0.9106060606060605,0.5454545454545454,0,8.5
25,0.9199411928514095,0.10269770978477111,0.9046536796536796,0.5454545454545454,0,8.4
26,0.9230364309466477,0.10324299687920292,0.9106060606060605,0.5454545454545454,0,8.8
27,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,8.3
28,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,7.6
29,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,8.6
30,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,8.4
31,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,8.7
32,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,8.7
33,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,7.8
