feature,stability_score,mean_mi,mean_abs_shap,rank_stability,rank_shap,rank_diff
scr_recovery_time_mean,0.9999999999999997,0.3756654488913327,3.617905561482437,1,1,0
hrv_median_rr,0.9999999999999997,0.14335818747514564,1.3526483788991017,1,2,1
scr_peak_count,0.9999999999999997,0.2473788225283089,1.0297220267323681,1,3,2
scl_range,0.7142857142857141,0.13791646397232346,1.0186189039301665,13,4,-9
hrv_pnn50,0.9999999999999997,0.25330142170705927,0.8738371557001442,1,5,4
scl_max,0.9999999999999997,0.19288249611701339,0.8540811145261874,1,6,5
temp_slope,0.07142857142857142,0.11113074743301084,0.7089854060497297,19,7,-12
temp_max,0.3571428571428571,0.12618523671682377,0.7034861987877556,16,8,-8
hrv_sdsd,0.9999999999999997,0.1960626931083938,0.5255589334230485,1,9,8
acc_jerk_mag_mean,0.3571428571428571,0.1275730101794798,0.4893713612916003,16,10,-6
hrv_min_rr,0.6428571428571427,0.13459347110331854,0.4504008255435249,15,11,-4
acc_y_std,0.0,0.05240084747403181,0.3174120819826191,20,12,-8
acc_z_std,0.0,0.05504368701599175,0.29744317698109557,20,13,-7
acc_sma,0.0,0.02155717805227689,0.22209873478315778,20,14,-6
scr_rise_time_mean,0.9285714285714283,0.15678397267464778,0.21036893267303047,12,15,3
scr_amplitude_sum,0.9999999999999997,0.2322203904824713,0.1951683083836072,1,16,15
hrv_lf_hf_ratio,0.0,0.09058816729130084,0.14262563624646973,20,17,-3
acc_magnitude_mean,0.0,0.06280721616979813,0.12983276057855933,20,18,-2
hrv_mean_hr,0.0,0.10172241871419338,0.11447369789339308,20,19,-1
acc_magnitude_max,0.0,0.11687067307762831,0.09958325563926974,20,20,0
acc_x_std,0.0,0.04015543472189637,0.08846559309151658,20,21,1
eda_skewness,0.0,0.026287663619888196,0.0857301982667038,20,22,2
hrv_total_power,0.0,0.06992247772540314,0.08242698418690984,20,23,3
scl_slope,0.21428571428571427,0.11920666744758378,0.06776870295347093,18,24,6
temp_std,0.0,0.05079160539174026,0.06694741518155682,20,25,5
hrv_hf_power,0.0,0.08844674328132732,0.06575136948079881,20,26,6
hrv_lf_power,0.0,0.0784851548313894,0.0412797449323187,20,27,7
acc_magnitude_std,0.9999999999999997,0.14915385171176912,0.03732336858438481,1,28,27
scr_amplitude_max,0.9999999999999997,0.18979108221303595,0.03551275875399211,1,29,28
acc_jerk_mag_std,0.7142857142857141,0.1325673787359565,0.02858065770621667,13,30,17
scr_amplitude_mean,0.9999999999999997,0.17823458581803103,0.02842654646198354,1,31,30
hrv_max_rr,0.9999999999999997,0.16069380981069753,0.016200755095673536,1,32,31
eda_kurtosis,0.0,0.015470660877303564,0.012959940776575663,20,33,13
