subject,recall_hgb,recall_svm,recall_ensemble,f1_ensemble,Δ_vs_hgb
S10,0.75,0.6666666666666666,0.75,0.8571428571428571,0.0
S11,1.0,0.8181818181818182,1.0,0.9565217391304348,0.0
S13,1.0,0.6363636363636364,1.0,0.9166666666666666,0.0
S15,1.0,0.7272727272727273,1.0,1.0,0.0
S16,1.0,0.9090909090909091,1.0,1.0,0.0
S17,0.9166666666666666,0.75,0.8333333333333334,0.8695652173913043,-0.08333333333333326
S2,0.9,0.9,0.9,0.9473684210526315,0.0
S3,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.8421052631578947,0.09090909090909094
S4,1.0,1.0,1.0,1.0,0.0
S5,1.0,1.0,1.0,1.0,0.0
S6,1.0,1.0,1.0,1.0,0.0
S7,1.0,0.7,1.0,1.0,0.0
S8,1.0,1.0,1.0,1.0,0.0
S9,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7058823529411765,0.0
